dataset,best_estimator
ACSF1,HC2
AconityMINIPrinterLargeEq,InceptionT
AconityMINIPrinterSmallEq,HC2
Adiac,Hydra-MR
AllGestureWiimoteXEq,InceptionT
AllGestureWiimoteYEq,InceptionT
AllGestureWiimoteZEq,InceptionT
ArrowHead,Hydra-MR
AsphaltObstaclesUniEq,InceptionT
AsphaltPavementTypeUniEq,InceptionT
AsphaltRegularityUniEq,RSTSF
BME,Hydra-MR
Beef,RSTSF
BeetleFly,WEASEL-D
BirdChicken,RSTSF
CBF,HC2
Car,RDST
Chinatown,RSTSF
ChlorineConcentration,InceptionT
CinCECGTorso,HC2
Coffee,Hydra-MR
Colposcopy,RSTSF
Computers,Hydra-MR
Covid3MonthDiscrete,HC2
CricketX,InceptionT
CricketY,InceptionT
CricketZ,InceptionT
Crop,InceptionT
DiatomSizeReduction,PF
DistalPhalanxOutlineAgeGroup,WEASEL-D
DistalPhalanxOutlineCorrect,Hydra-MR
DistalPhalanxTW,HC2
DodgerLoopDayNmv,RSTSF
DodgerLoopGameNmv,PF
DodgerLoopWeekendNmv,RSTSF
ECG200,Hydra-MR
ECG5000,HC2
ECGFiveDays,FreshPRINCE
EOGHorizontalSignal,InceptionT
EOGVerticalSignal,InceptionT
Earthquakes,RSTSF
ElectricDeviceDetection,Hydra-MR
ElectricDevices,FreshPRINCE
EthanolLevel,InceptionT
FaceAll,HC2
FaceFour,RDST
FacesUCR,InceptionT
FiftyWords,Hydra-MR
Fish,HC2
FloodModeling1Discrete,FreshPRINCE
FloodModeling2Discrete,Hydra-MR
FloodModeling3Discrete,FreshPRINCE
FordA,FreshPRINCE
FordB,InceptionT
FreezerRegularTrain,RSTSF
FreezerSmallTrain,HC2
GestureMidAirD1Eq,HC2
GestureMidAirD2Eq,HC2
GestureMidAirD3Eq,HC2
GesturePebbleZ1Eq,RDST
GesturePebbleZ2Eq,RDST
GunPoint,HC2
GunPointAgeSpan,PF
GunPointMaleVersusFemale,Hydra-MR
GunPointOldVersusYoung,Hydra-MR
Ham,WEASEL-D
HandOutlines,Hydra-MR
Haptics,RDST
Herring,RDST
HouseTwenty,HC2
InlineSkate,RSTSF
InsectEPGRegularTrain,Hydra-MR
InsectEPGSmallTrain,PF
InsectWingbeatSound,Hydra-MR
ItalyPowerDemand,RSTSF
KeplerLightCurves,FreshPRINCE
LargeKitchenAppliances,InceptionT
Lightning2,PF
Lightning7,InceptionT
Mallat,HC2
Meat,HC2
MedicalImages,RSTSF
MelbournePedestrianNmv,RSTSF
MiddlePhalanxOutlineAgeGroup,WEASEL-D
MiddlePhalanxOutlineCorrect,Hydra-MR
MiddlePhalanxTW,RSTSF
MixedShapesRegularTrain,Hydra-MR
MixedShapesSmallTrain,Hydra-MR
MoteStrain,WEASEL-D
NonInvasiveFetalECGThorax1,Hydra-MR
NonInvasiveFetalECGThorax2,Hydra-MR
OSULeaf,WEASEL-D
OliveOil,WEASEL-D
PLAIDEq,Hydra-MR
PhalangesOutlinesCorrect,InceptionT
PhoneHeartbeatSound,RDST
Phoneme,HC2
PickupGestureWiimoteZEq,Hydra-MR
PigAirwayPressure,HC2
PigArtPressure,HC2
PigCVP,WEASEL-D
Plane,Hydra-MR
PowerCons,RSTSF
ProximalPhalanxOutlineAgeGroup,WEASEL-D
ProximalPhalanxOutlineCorrect,Hydra-MR
ProximalPhalanxTW,FreshPRINCE
RefrigerationDevices,HC2
Rock,HC2
ScreenType,HC2
SemgHandGenderCh2,HC2
SemgHandMovementCh2,HC2
SemgHandSubjectCh2,HC2
ShakeGestureWiimoteZEq,HC2
ShapeletSim,Hydra-MR
ShapesAll,Hydra-MR
SharePriceIncrease,FreshPRINCE
SmallKitchenAppliances,HC2
SmoothSubspace,PF
SonyAIBORobotSurface1,InceptionT
SonyAIBORobotSurface2,WEASEL-D
StarLightCurves,HC2
Strawberry,Hydra-MR
SwedishLeaf,Hydra-MR
Symbols,HC2
SyntheticControl,PF
ToeSegmentation1,HC2
ToeSegmentation2,InceptionT
Tools,HC2
Trace,Hydra-MR
TwoLeadECG,HC2
TwoPatterns,Hydra-MR
UMD,HC2
UWaveGestureLibraryAll,Hydra-MR
UWaveGestureLibraryX,Hydra-MR
UWaveGestureLibraryY,Hydra-MR
UWaveGestureLibraryZ,Hydra-MR
Wafer,HC2
Wine,WEASEL-D
WordSynonyms,Hydra-MR
Worms,InceptionT
WormsTwoClass,HC2
Yoga,Hydra-MR
